{ebb, bad, cdf, dce, fej, ajc}
{ajj, cdb, ded, bce, ebf, fac}
{ejf, cdb, aad, bej, fbc, dce}
{bcb, eje, cdf, aad, fbc, dej}
{ebb, cdf, bce, aad, dej, fjc}
{abb, eje, cdf, fcd, bej, dac}
{ded, adf, bce, fac, cbj, ejb}
{eje, abd, dcc, cab, bej, fdf}
{adf, fcd, bej, dac, cbe, ejb}
{bcb, adf, eac, cbe, fej, djd}
{bec, abd, dce, fdf, ejb, caj}
{eje, adf, dbc, fcd, caj, beb}
{deb, adf, bce, ebd, caj, fjc}
{ejf, cdb, abc, bad, dce, fej}
{ajj, feb, cdf, bce, ebd, dac}
{cdb, bad, dce, aej, ebf, fjc}
{abb, eje, cdc, fcd, baf, dej}
{ebb, bad, cdf, aej, dce, fjc}
{cdb, eje, abc, fcd, bej, daf}
{ejf, cdb, bce, aad, fbc, dej}
{cdb, ebd, baf, dce, fej, ajc}
{eje, dcc, aad, fdf, cbj, beb}
{bcb, eje, cdf, dbd, aej, fac}
{bcb, eje, cdc, aad, fef, dbj}
{fcd, cbe, ddf, ajc, beb, eaj}
{abb, eje, cdc, fcd, bej, daf}
{cdf, bbd, aej, dce, fac, ejb}
{ajj, ded, bce, cab, ebc, fdf}
{cdb, aad, ebc, dce, fej, bjf}
{abb, cdf, bce, eac, fej, djd}
{ejf, cdb, bbc, aad, dce, fej}
{cab, ebd, bej, dce, fdf, ajc}
{adf, ebd, dce, caj, beb, fjc}
{bad, cdf, fbc, aej, dce, ejb}
{ajj, cdb, def, bce, ebd, fac}
{bcb, eje, cac, dbd, aej, fdf}
{adf, cac, bce, dbd, fej, ejb}
{abb, eje, bad, cdf, dcc, fej}
{bcb, eje, abd, cac, dej, fdf}
{ejf, cdb, abd, bce, dac, fej}
{ajj, deb, cdf, bce, ebd, fac}
{abd, cac, bce, ddf, fej, ejb}
{abd, cdf, dce, beb, fjc, eaj}
{feb, adf, bce, eac, cbj, djd}
{ebb, cdf, bce, aej, fac, djd}
{bce, cab, ebd, dej, fdf, ajc}
{cdb, ebd, baf, dce, aej, fjc}
{bcb, eje, ded, abc, fdf, caj}
{abd, cdf, bej, dce, fac, ejb}
{ajj, cdf, ebd, dce, fac, beb}
{bce, cab, ebd, ddf, fej, ajc}
{eje, adf, dbc, cab, fcd, bej}
{ded, ebb, bce, fdf, ajc, caj}
{cdb, abd, def, bce, fjc, eaj}
{abd, cdc, bce, daf, fej, ejb}
{feb, abd, cdc, dce, bjf, eaj}
{cdb, bad, dce, ebf, fej, ajc}
{feb, bce, ebd, ddf, ajc, caj}
{bcb, ded, cbe, fdf, ajc, eaj}
{bce, cab, ebd, ddf, aej, fjc}
{bad, ecb, cbe, ddf, aej, fjc}
{ecb, aad, bej, cbe, ddf, fjc}
{bce, cab, ebc, aej, fdf, djd}
{ejf, cdb, abd, bej, dce, fac}
{eje, feb, adf, bad, dcc, cbj}
{bcb, eje, abd, cdc, daf, fej}
{adf, cab, ebd, bej, dce, fjc}
{eje, dcc, cab, bbd, aej, fdf}
{ebd, dce, fdf, ajc, caj, beb}
{ajj, feb, cdc, ebd, baf, dce}
{ajj, cdc, ebb, bad, fef, dce}
{bad, dcc, cbe, aej, fdf, ejb}
{ajj, feb, cdf, bbd, eac, dce}
{ajj, feb, cdf, bce, eac, dbd}
{ajj, bcb, ded, eac, cbe, fdf}
{eje, adf, dcc, cab, bbd, fej}
{ded, adf, ebb, bce, caj, fjc}
{ejf, cdb, abd, bce, dej, fac}
{cdc, bce, aad, fef, ejb, dbj}
{dbc, cdf, bce, aad, fej, ejb}
{ebb, cdf, aad, bej, dce, fjc}
{bcb, eje, ded, adf, fbc, caj}
{adf, bad, ecb, cbe, dej, fjc}
{bec, eje, adf, cab, fcd, dbj}
{eje, feb, adf, dcc, bbd, caj}
{cdb, abc, bce, fef, djd, eaj}
{feb, cdf, bbd, dce, ajc, eaj}
{deb, eje, bbc, adf, fcd, caj}
{ajj, ded, ebb, cdf, bce, fac}
{bcb, ded, adf, cbe, fjc, eaj}
{adf, ecb, bej, cbe, fac, djd}
{ejf, abb, cdc, bad, dce, fej}
{cdb, bce, aad, ebf, dej, fjc}
{ajj, feb, bad, cdf, ebc, dce}
{bcb, eje, abd, cdf, dac, fej}
{adf, bce, cab, ebc, fej, djd}
{eje, adf, bbc, cab, fcd, dej}
{cac, bce, dbd, aej, fdf, ejb}
{abd, cac, bej, dce, fdf, ejb}
{ejf, cdb, dbc, bce, aad, fej}
{deb, bce, ebd, fdf, ajc, caj}
{cdb, ebd, dce, aej, fac, bjf}
{feb, adf, bce, ebc, caj, djd}
{abb, ded, cdf, bce, fjc, eaj}
{abb, cdc, bce, fef, eaj, djd}
{bec, aad, dce, fdf, cbj, ejb}
{eje, bbc, cab, fcd, ddf, aej}
{adf, cac, bbd, dce, fej, ejb}
{adf, bad, dcc, cbe, fej, ejb}
{eje, abc, fcd, ddf, caj, beb}
{abb, eje, cac, fcd, bej, ddf}
{bcb, eje, abd, cac, ddf, fej}
{cdc, ebb, aad, dce, fej, bjf}
{adf, ebb, cac, bce, fej, djd}
{cdb, aad, bej, dce, ebf, fjc}
{feb, cdf, bce, dbd, ajc, eaj}
{ajj, feb, cdc, bce, ebd, daf}
{eje, adf, cac, fcd, dbj, beb}
{cdb, bbd, fef, dce, ajc, eaj}
{ajj, cac, ebd, dce, fdf, beb}
{ajj, bec, cab, ebd, dce, fdf}
{cdb, bce, ebd, aej, daf, fjc}
{ajj, cdb, bad, fef, ebc, dce}
{bbc, cdf, aad, dce, fej, ejb}
{cdf, bce, dbd, aej, fac, ejb}
{bcb, eje, adf, cac, dbd, fej}
{cdb, eje, abc, fcd, baf, dej}
{cdf, aad, bej, fbc, dce, ejb}
{abc, bad, cdf, dce, fej, ejb}
{ejf, cdb, bad, fbc, aej, dce}
{feb, abc, cdf, bce, djd, eaj}
{eje, abc, cab, fcd, bej, ddf}
{abd, cdc, baf, dce, fej, ejb}
{bcb, eac, cbe, aej, fdf, djd}
{ejf, cdb, bbd, dce, aej, fac}
{ded, adf, bce, fbc, ejb, caj}
{eje, adf, fcd, dac, cbj, beb}
{ajj, cdb, bbd, fef, eac, dce}
{cac, bbd, aej, dce, fdf, ejb}
{cdb, eje, bbc, fcd, aej, daf}
{bcb, eje, abd, cdf, dej, fac}
{adf, bce, cab, ebd, dej, fjc}
{bad, ecb, cbe, ddf, fej, ajc}
{ejf, feb, cdc, bce, aad, dbj}
{abd, cdf, bce, dej, fac, ejb}
{cdb, eje, dbc, fcd, baf, aej}
{ded, abc, bce, fdf, ejb, caj}
{abb, bec, eje, fcd, ddf, caj}
{eje, abd, dcc, fdf, caj, beb}
{ajj, feb, cac, bce, ebd, ddf}
{cdb, bce, ebd, daf, fej, ajc}
{cdb, abd, eac, dce, fej, bjf}
{deb, abd, cdf, bce, fjc, eaj}
{ebb, cac, bce, aej, fdf, djd}
{ejf, cdb, bce, dbd, aej, fac}
{bcb, eje, ded, adf, fac, cbj}
{dcc, aad, bej, cbe, fdf, ejb}
{abd, cac, bce, dej, fdf, ejb}
{ajj, cdb, bec, ebd, faa, dce}
{cdb, bce, ebd, faa, dej, ajc}
{bcb, eje, cdc, faa, dbd, aej}
